lat,lon,ele,time,name,sat
10.01685683,-84.21891147,997.0,2017-09-11T15:45:41Z,principio de ruta,0
10.01993566,-84.20959144,984.0,2017-09-11T15:52:10Z,parada tipo 1,0
10.01843328,-84.20566557,985.0,2017-09-11T15:55:09Z,parada tipo 1,0
10.01932626,-84.19752747,958.0,2017-09-11T15:57:56Z,parada tipo 3,0
10.01914537,-84.19744129,960.0,2017-09-11T15:58:05Z,parada cootaxa,0
10.02132406,-84.19007478,1001.0,2017-09-11T16:00:43Z,parada tipo 3,0
10.02515836,-84.1796129,1056.0,2017-09-11T16:03:06Z,parada tipo 3,0
10.02470047,-84.17715081,1065.0,2017-09-11T16:03:52Z,parada tipo 3,0
10.02899067,-84.17207631,1088.0,2017-09-11T16:05:24Z,parada tipo 1,0
10.02955839,-84.17095525,1093.0,2017-09-11T16:06:15Z,parada tipo 3,0
10.03114471,-84.16781076,1100.0,2017-09-11T16:07:31Z,parada tipo 1,0
10.03200849,-84.16660935,1105.0,2017-09-11T16:08:09Z,parada tipo 3,0
10.03576692,-84.16124875,1138.0,2017-09-11T16:09:45Z,parada tipo 1,0
10.03739049,-84.15946067,1156.0,2017-09-11T16:11:43Z,parada tipo 1,0
10.0374047,-84.15945733,1157.0,2017-09-11T16:11:55Z,final,0
