lat,lon,ele,time,name,sat
10.01542195,-84.19468882,979.0,2017-10-02T15:11:34Z,inicio de ruta ,0
10.01710571,-84.19602169,979.0,2017-10-02T15:12:49Z,parada tipo 1,0
10.01653481,-84.19660414,983.0,2017-10-02T15:13:14Z,parada tipo 1,0
10.01479384,-84.19922988,975.0,2017-10-02T15:14:09Z,parada tipo 1,0
10.01534667,-84.20181277,930.0,2017-10-02T15:15:46Z,parada tipo 3,0
10.01441992,-84.20225559,901.0,2017-10-02T15:16:21Z,parada tipo 1,0
10.01292082,-84.20100506,881.0,2017-10-02T15:17:31Z,parada tipo 2,0
10.01053531,-84.20278598,865.0,2017-10-02T15:18:33Z,parada tipo 1,0
10.01042278,-84.20288508,863.0,2017-10-02T15:18:37Z,parada escuela el invu,0
10.0057604,-84.20523473,930.0,2017-10-02T15:20:12Z,parada tipo 3,0
10.00580356,-84.20524702,933.0,2017-10-02T15:20:17Z,parada radial,0
10.00859712,-84.20993097,928.0,2017-10-02T15:22:48Z,parada tipo 1,0
10.00855962,-84.21009047,927.0,2017-10-02T15:22:52Z,parada hospital,0
10.00919777,-84.21214672,938.0,2017-10-02T15:23:33Z,parada tipo 1,0
10.01622764,-84.20880842,968.0,2017-10-02T15:29:25Z,parada tipo 1,0
10.01965154,-84.2097343,984.0,2017-10-02T15:31:05Z,parada tipo 1,0
10.02075477,-84.2131833,987.0,2017-10-02T15:33:02Z,parada tipo 2,0
10.02071252,-84.21333975,986.0,2017-10-02T15:33:07Z,parada tipo 1,0
10.01985562,-84.21641625,972.0,2017-10-02T15:34:39Z,parada tipo 1,0
10.01746098,-84.21913087,968.0,2017-10-02T15:35:52Z,parada tipo 1,0
10.014122,-84.21776363,949.0,2017-10-02T15:39:33Z,parada final,0
